image,name,shortName,status,lastTradePrice,bestBuyYesCost,bestBuyNoCost,bestSellYesCost,bestSellNoCost,lastClosePrice,displayOrder,current_time,market_id,market_url,contract_id,new_image
https://az620379.vo.msecnd.net/images/Contracts/small_e3e5d1e1-db5f-4379-bf5b-af47e874e943.jpg,Marco Rubio,Rubio,Open,0.01,0.01,,,0.99,0.01,0,2024-04-04T17:30:24.252293,7053,https://www.predictit.org/markets/detail/7053/Who-will-win-the-2024-Republican-presidential-nomination,24791,https://az620379_vo_msecnd_net/images/Contracts/small_e3e5d1e1-db5f-4379-bf5b-af47e874e943.jpg
https://az620379.vo.msecnd.net/images/Contracts/small_683be142-e62f-4597-bc39-00fb2e2cb373.jpg,Josh Hawley,Hawley,Open,0.01,0.01,,,0.99,0.01,0,2024-04-04T17:30:24.252293,7053,https://www.predictit.org/markets/detail/7053/Who-will-win-the-2024-Republican-presidential-nomination,24792,https://az620379_vo_msecnd_net/images/Contracts/small_683be142-e62f-4597-bc39-00fb2e2cb373.jpg
https://az620379.vo.msecnd.net/images/Contracts/small_958885c8-c04c-4ad3-b64e-fe33e9af83cc.jpg,Tim Scott,T. Scott,Open,0.01,0.01,,,0.99,0.01,0,2024-04-04T17:30:24.252293,7053,https://www.predictit.org/markets/detail/7053/Who-will-win-the-2024-Republican-presidential-nomination,24793,https://az620379_vo_msecnd_net/images/Contracts/small_958885c8-c04c-4ad3-b64e-fe33e9af83cc.jpg
https://az620379.vo.msecnd.net/images/Contracts/small_e3ff1357-c8f6-4498-a5d6-12580eca75b7.jpg,Rick Scott,R. Scott,Open,0.01,0.01,,,0.99,0.01,0,2024-04-04T17:30:24.252293,7053,https://www.predictit.org/markets/detail/7053/Who-will-win-the-2024-Republican-presidential-nomination,24794,https://az620379_vo_msecnd_net/images/Contracts/small_e3ff1357-c8f6-4498-a5d6-12580eca75b7.jpg
https://az620379.vo.msecnd.net/images/Contracts/small_8d271559-d751-448d-bacb-1a209e714bd4.png,Larry Hogan,Hogan,Open,0.01,0.01,,,0.99,0.01,0,2024-04-04T17:30:24.252293,7053,https://www.predictit.org/markets/detail/7053/Who-will-win-the-2024-Republican-presidential-nomination,24813,https://az620379_vo_msecnd_net/images/Contracts/small_8d271559-d751-448d-bacb-1a209e714bd4.png
https://az620379.vo.msecnd.net/images/Contracts/small_1d8cb077-b0ce-456e-aadc-57fc4d88dcd7.png,Ron DeSantis,DeSantis,Open,0.01,0.02,0.99,0.01,0.98,0.01,0,2024-04-04T17:30:24.252293,7053,https://www.predictit.org/markets/detail/7053/Who-will-win-the-2024-Republican-presidential-nomination,24814,https://az620379_vo_msecnd_net/images/Contracts/small_1d8cb077-b0ce-456e-aadc-57fc4d88dcd7.png
https://az620379.vo.msecnd.net/images/Contracts/small_4b2b5732-b84d-4ac6-b7da-9d3790c691e0.png,Kristi Noem,Noem,Open,0.01,0.01,,,0.99,0.01,0,2024-04-04T17:30:24.252293,7053,https://www.predictit.org/markets/detail/7053/Who-will-win-the-2024-Republican-presidential-nomination,24815,https://az620379_vo_msecnd_net/images/Contracts/small_4b2b5732-b84d-4ac6-b7da-9d3790c691e0.png
https://az620379.vo.msecnd.net/images/Contracts/small_97751cff-caca-40c3-8d44-2aa9c672832c.png,Glenn Youngkin,Youngkin,Open,0.01,0.01,,,0.99,0.01,0,2024-04-04T17:30:24.252293,7053,https://www.predictit.org/markets/detail/7053/Who-will-win-the-2024-Republican-presidential-nomination,28287,https://az620379_vo_msecnd_net/images/Contracts/small_97751cff-caca-40c3-8d44-2aa9c672832c.png
https://az620379.vo.msecnd.net/images/Contracts/small_88c5c8fe-3175-4907-9375-0f63071d1aab.png,Vivek Ramaswamy,Ramaswamy,Open,0.01,0.02,,,0.98,0.01,0,2024-04-04T17:30:24.252293,7053,https://www.predictit.org/markets/detail/7053/Who-will-win-the-2024-Republican-presidential-nomination,31225,https://az620379_vo_msecnd_net/images/Contracts/small_88c5c8fe-3175-4907-9375-0f63071d1aab.png
https://az620379.vo.msecnd.net/images/Contracts/small_daed4025-7406-4a1d-855a-cd4d2e604229.png,Asa Hutchinson,Hutchinson,Open,0.01,0.01,,,0.99,0.01,0,2024-04-04T17:30:24.252293,7053,https://www.predictit.org/markets/detail/7053/Who-will-win-the-2024-Republican-presidential-nomination,31227,https://az620379_vo_msecnd_net/images/Contracts/small_daed4025-7406-4a1d-855a-cd4d2e604229.png
https://az620379.vo.msecnd.net/images/Contracts/small_ff3ea0a7-aad9-41f6-93a4-ba0f9d079cdd.png,Chris Christie,Christie,Open,0.01,0.01,,,0.99,0.01,0,2024-04-04T17:30:24.252293,7053,https://www.predictit.org/markets/detail/7053/Who-will-win-the-2024-Republican-presidential-nomination,31239,https://az620379_vo_msecnd_net/images/Contracts/small_ff3ea0a7-aad9-41f6-93a4-ba0f9d079cdd.png
https://az620379.vo.msecnd.net/images/Contracts/small_45d04cac-bda3-42c8-974b-57d39be45d39.png,Doug Burgum,Burgum,Open,0.01,0.01,,,0.99,0.01,0,2024-04-04T17:30:24.252293,7053,https://www.predictit.org/markets/detail/7053/Who-will-win-the-2024-Republican-presidential-nomination,31317,https://az620379_vo_msecnd_net/images/Contracts/small_45d04cac-bda3-42c8-974b-57d39be45d39.png
https://az620379.vo.msecnd.net/images/Contracts/small_4c64890a-503c-454c-b02e-732319f1459f.jpg,Joe Biden,Biden,Open,0.9,0.9,0.11,0.89,0.1,0.89,0,2024-04-04T17:30:24.252293,7057,https://www.predictit.org/markets/detail/7057/Who-will-win-the-2024-Democratic-presidential-nomination,24807,https://az620379_vo_msecnd_net/images/Contracts/small_4c64890a-503c-454c-b02e-732319f1459f.jpg
https://az620379.vo.msecnd.net/images/Contracts/small_a898b196-9a0f-454e-99fe-36e21c62f343.jpg,Gavin Newsom,Newsom,Open,0.07,0.06,0.95,0.05,0.94,0.05,0,2024-04-04T17:30:24.252293,7057,https://www.predictit.org/markets/detail/7057/Who-will-win-the-2024-Democratic-presidential-nomination,30315,https://az620379_vo_msecnd_net/images/Contracts/small_a898b196-9a0f-454e-99fe-36e21c62f343.jpg
https://az620379.vo.msecnd.net/images/Contracts/small_42e624ca-be5f-4c3e-8939-86bb42b0314d.jpg,Kamala Harris,Harris,Open,0.04,0.05,0.96,0.04,0.95,0.05,0,2024-04-04T17:30:24.252293,7057,https://www.predictit.org/markets/detail/7057/Who-will-win-the-2024-Democratic-presidential-nomination,24808,https://az620379_vo_msecnd_net/images/Contracts/small_42e624ca-be5f-4c3e-8939-86bb42b0314d.jpg
https://az620379.vo.msecnd.net/images/Contracts/small_8ee3b203-848a-44c2-928f-a29fe97685bc.jpg,Bernie Sanders,Sanders,Open,0.01,0.01,,,0.99,0.01,0,2024-04-04T17:30:24.252293,7057,https://www.predictit.org/markets/detail/7057/Who-will-win-the-2024-Democratic-presidential-nomination,24809,https://az620379_vo_msecnd_net/images/Contracts/small_8ee3b203-848a-44c2-928f-a29fe97685bc.jpg
https://az620379.vo.msecnd.net/images/Contracts/small_b5d5cb16-9f8a-4cf0-a428-c84fda98a31d.jpg,Hillary Clinton,Clinton,Open,0.01,0.02,0.99,0.01,0.98,0.02,0,2024-04-04T17:30:24.252293,7057,https://www.predictit.org/markets/detail/7057/Who-will-win-the-2024-Democratic-presidential-nomination,24810,https://az620379_vo_msecnd_net/images/Contracts/small_b5d5cb16-9f8a-4cf0-a428-c84fda98a31d.jpg
https://az620379.vo.msecnd.net/images/Contracts/small_87412471-a5b6-4b74-bcc4-685106982248.jpg,Pete Buttigieg,Buttigieg,Open,0.01,0.01,,,0.99,0.01,0,2024-04-04T17:30:24.252293,7057,https://www.predictit.org/markets/detail/7057/Who-will-win-the-2024-Democratic-presidential-nomination,24811,https://az620379_vo_msecnd_net/images/Contracts/small_87412471-a5b6-4b74-bcc4-685106982248.jpg
